"D 南區 Southern","區議會選區","Constituency","分區編號 DCCA Code","點票站","Counting Station","候選人編號 1 Candidate Number 1","候選人編號 2 Candidate Number 2","候選人編號 3 Candidate Number 3","候選人編號 4 Candidate Number 4","候選人編號 5 Candidate Number 5","候選人編號 6 Candidate Number 6"
"D01","香港仔","ABERDEEN","D0101","香港仔體育館","Aberdeen Sports Centre","5001","3020","31","--","--","--"
"D02","鴨脷洲邨","AP LEI CHAU ESTATE","D0201","鴨脷洲社區會堂","Ap Lei Chau Community Hall","3274","3092","--","--","--","--"
"D03","鴨脷洲北","AP LEI CHAU NORTH","D0301","鴨脷洲體育館","Ap Lei Chau Sports Centre","3136","1932","--","--","--","--"
"D04","利東一","LEI TUNG I","D0401","聖伯多祿天主教小學","St. Peter's Catholic Primary School","2258","3827","--","--","--","--"
"D05","利東二","LEI TUNG II","D0501","利東社區會堂","Lei Tung Community Hall","4737","2801","--","--","--","--"
"D06","海怡東","SOUTH HORIZONS EAST","D0601","香港南區官立小學","Hong Kong Southern District Government Primary School","2960","3750","--","--","--","--"
"D07","海怡西","SOUTH HORIZONS WEST","D0701","海怡社區中心","South Horizons Neighbourhood Community Centre","4164","3236","--","--","--","--"
"D08","華貴","WAH KWAI","D0801","華貴社區會堂","Wah Kwai Community Hall","4540","3111","--","--","--","--"
"D09","華富南","WAH FU SOUTH","D0901","明愛莊月明中學","Caritas Chong Yuet Ming Secondary School","2478","3121","--","--","--","--"
"D10","華富北","WAH FU NORTH","D1001","東華三院鶴山學校","TWGHs Hok Shan School","2366","3751","--","--","--","--"
"D11","薄扶林","POKFULAM","D1101","漁光道體育館","Yue Kwong Road Sports Centre","35","300","644","--","--","--"
"D11","薄扶林","POKFULAM","D1102","上碧瑤灣遊樂場","Playground of Upper Baguio Villa","85","657","1027","--","--","--"
"D11","薄扶林","POKFULAM","D1103","數碼港郵政局","Cyberport Post Office","44","883","876","--","--","--"
"D12","置富","CHI FU","D1201","展亮技能發展中心(薄扶林)","Shine Skills Centre (Pokfulam)","203","278","--","--","--","--"
"D12","置富","CHI FU","D1202","置富南區會堂","Chi Fu Community Hall","2541","4014","--","--","--","--"
"D13","田灣","TIN WAN","D1301","明愛賽馬會香港仔服務中心","Caritas Jockey Club Aberdeen Social Centre","1236","673","--","--","--","--"
"D13","田灣","TIN WAN","D1302","聖公會田灣始南小學","SKH Tin Wan Chi Nam Primary School","2955","1929","--","--","--","--"
"D14","石漁","SHEK YUE","D1401","香港仔聖伯多祿天主教小學","Aberdeen St. Peter's Catholic Primary School","4263","3321","--","--","--","--"
"D15","黃竹坑","WONG CHUK HANG","D1501","香港仔網球及壁球中心","Aberdeen Tennis and Squash Centre","848","1166","--","--","--","--"
"D15","黃竹坑","WONG CHUK HANG","D1502","新會商會陳白沙紀念中學","SWCS Chan Pak Sha School","2045","2817","--","--","--","--"
"D16","海灣","BAYS AREA","D1601","南島中學","South Island School","383","881","--","--","--","--"
"D16","海灣","BAYS AREA","D1602","香港國際學校","Hong Kong International School","424","1001","--","--","--","--"
"D17","赤柱及石澳","STANLEY & SHEK O","D1701","赤柱社區會堂","Stanley Community Hall","2084","2228","93","--","--","--"
"D17","赤柱及石澳","STANLEY & SHEK O","D1702","石澳康樂及文化事務署職員宿舍","Shek O Leisure and Cultural Services Department Staff Quarters","508","452","10","--","--","--"
