"G 九龍城 Kowloon City","區議會選區","Constituency","分區編號 DCCA Code","點票站","Counting Station","候選人編號 1 Candidate Number 1","候選人編號 2 Candidate Number 2","候選人編號 3 Candidate Number 3","候選人編號 4 Candidate Number 4","候選人編號 5 Candidate Number 5","候選人編號 6 Candidate Number 6"
"G01","馬頭圍","MA TAU WAI","G0101","馬頭涌官立小學","Ma Tau Chung Government Primary School","3712","93","4264","--","--","--"
"G02","宋皇臺","SUNG WONG TOI","G0201","聖三一堂小學","Holy Trinity Primary School","3406","1315","318","--","--","--"
"G03","馬坑涌","MA HANG CHUNG","G0301","土瓜灣體育館","To Kwa Wan Sports Centre","2437","3966","84","--","--","--"
"G04","馬頭角","MA TAU KOK","G0401","保良局林文燦英文小學","PLK Lam Man Chan English Primary School","2195","2499","40","--","--","--"
"G05","樂民","LOK MAN","G0501","獻主會聖馬善樂小學","St. Eugene de Mazenod Oblate Primary School","3312","2694","--","--","--","--"
"G06","常樂","SHEUNG LOK","G0601","聖文嘉幼稚園","St. Monica's Kindergarten","1884","2588","71","--","--","--"
"G06","常樂","SHEUNG LOK","G0602","循道衛理楊震社會服務處何文田青少年綜合發展中心","YMMSS Homantin Integrated Centre for Youth Development","1366","1995","48","--","--","--"
"G07","何文田","HO MAN TIN","G0701","女青賽馬會社會服務大樓","HKYWCA Jockey Club Social Service Building","2495","62","2233","--","--","--"
"G07","何文田","HO MAN TIN","G0702","何文田官立中學","Homantin Government Secondary School","1227","34","1189","--","--","--"
"G08","嘉道理","KADOORIE","G0801","明愛九龍社區中心","Caritas Community Centre - Kowloon","1086","1344","--","--","--","--"
"G08","嘉道理","KADOORIE","G0802","九龍總商會","Kowloon Chamber of Commerce","1170","2585","--","--","--","--"
"G09","太子","PRINCE","G0901","東華三院黃笏南中學","TWGHs Wong Fut Nam College","164","2219","2512","--","--","--"
"G10","九龍塘","KOWLOON TONG","G1001","九龍塘官立小學","Kowloon Tong Government Primary School","2291","2481","--","--","--","--"
"G10","九龍塘","KOWLOON TONG","G1002","九龍方方樂趣幼稚兒園","Kowloon Funful Kindergarten & Children's Corner","276","471","--","--","--","--"
"G11","龍城","LUNG SHING","G1101","九龍城體育館","Kowloon City Sports Centre","1983","101","1884","--","--","--"
"G12","啟德北","KAI TAK NORTH","G1201","聖公會聖十架小學","SKH Holy Cross Primary School","2480","29","2043","--","--","--"
"G13","啟德東","KAI TAK EAST","G1301","佛教陳策文伉儷幼稚園","Buddhist Mr. & Mrs. Chan Chart Man Kindergarten","2638","1835","--","--","--","--"
"G14","啟德中及南","KAI TAK CENTRAL & SOUTH","G1401","保良局溫林美賢耆暉中心","PLK Wan Lam May Yin Shirley Neighborhood Elderly Centre","1574","1367","--","--","--","--"
"G15","海心","HOI SHAM","G1501","聖公會聖匠小學","SKH Holy Carpenter Primary School","2890","2916","--","--","--","--"
"G16","土瓜灣北","TO KWA WAN NORTH","G1601","基督教香港信義會紅磡信義學校","ELCHK Hung Hom Lutheran Primary School","1538","1881","--","--","--","--"
"G17","土瓜灣南","TO KWA WAN SOUTH","G1701","中華基督教會基道中學","CCC Kei To Secondary School","1766","1936","107","--","--","--"
"G18","鶴園海逸","HOK YUEN LAGUNA VERDE","G1801","博愛醫院任永賢夫人幼稚園幼兒中心","POH Mrs. Yam Wing Yin Kindergarten Day Nursery","40","2011","1797","--","--","--"
"G18","鶴園海逸","HOK YUEN LAGUNA VERDE","G1802","紅磡社區會堂","Hung Hom Community Hall","26","1043","886","--","--","--"
"G19","黃埔東","WHAMPOA EAST","G1901","葛量洪校友會黃埔學校","GCE Past Students' Association Whampoa Primary School","4595","3374","--","--","--","--"
"G20","黃埔西","WHAMPOA WEST","G2001","馬頭涌官立小學(紅磡灣)","Ma Tau Chung Government Primary School (Hung Hom Bay)","1706","2578","--","--","--","--"
"G20","黃埔西","WHAMPOA WEST","G2002","黃埔宣道小學","Alliance Primary School Whampoa","1204","2137","--","--","--","--"
"G21","紅磡灣","HUNG HOM BAY","G2101","聖公會聖匠中學","SKH Holy Carpenter Secondary School","178","2688","3554","--","--","--"
"G22","紅磡","HUNG HOM","G2201","愛培學校","Aoi Pui School","1524","1779","--","--","--","--"
"G23","家維","KA WAI","G2301","紅磡市政大廈體育館","Hung Hom Municipal Services Building Sports Centre","4115","3769","58","--","--","--"
"G24","愛民","OI MAN","G2401","何文田體育館","Ho Man Tin Sports Centre","3176","3625","--","--","--","--"
"G25","愛俊","OI CHUN","G2501","天主教領島學校","Ling To Catholic Primary School","3268","3237","454","--","--","--"
