"H 黃大仙 Wong Tai Sin","區議會選區","Constituency","分區編號 DCCA Code","點票站","Counting Station","候選人編號 1 Candidate Number 1","候選人編號 2 Candidate Number 2","候選人編號 3 Candidate Number 3","候選人編號 4 Candidate Number 4","候選人編號 5 Candidate Number 5","候選人編號 6 Candidate Number 6"
"H01","龍趣","LUNG TSUI","H0101","黃大仙社區中心","Wong Tai Sin Community Centre","2911","2651","--","--","--","--"
"H02","龍下","LUNG HA","H0201","黃大仙官立小學","Wong Tai Sin Government Primary School","4394","2192","--","--","--","--"
"H03","龍上","LUNG SHEUNG","H0301","龍翔官立中學","Lung Cheung Government Secondary School","4460","3581","--","--","--","--"
"H04","鳳凰","FUNG WONG","H0401","慈雲山綜合家庭服務中心","Tsz Wan Shan Integrated Family Service Centre","1831","2882","--","--","--","--"
"H05","鳳德","FUNG TAK","H0501","鳳德社區中心","Fung Tak Estate Community Centre","3436","4396","--","--","--","--"
"H06","龍星","LUNG SING","H0601","香港小童群益會賽馬會慈雲山青少年綜合服務中心","The Boys' & Girls' Clubs Association of Hong Kong Jockey Club Tsz Wan Shan Children & Youth Integrated Services Centre","206","1833","3580","91","--","--"
"H06","龍星","LUNG SING","H0602","保良局張麥珍耆樂中心","PLK Mrs. Maria Cheung Lifelong Learning Institute for the Senior","130","875","2518","39","--","--"
"H07","新蒲崗","SAN PO KONG","H0701","保良局陳南昌夫人小學","PLK Mrs. Chan Nam Chong Memorial Primary School","1677","1275","--","--","--","--"
"H07","新蒲崗","SAN PO KONG","H0702","嘉諾撒小學 (新蒲崗)","Canossa Primary School (San Po Kong)","2695","2193","--","--","--","--"
"H08","東頭","TUNG TAU","H0801","東頭社區中心","Tung Tau Community Centre","3659","3822","--","--","--","--"
"H09","東美","TUNG MEI","H0901","孔教學院大成小學","Confucian Tai Shing Primary School","2314","4854","--","--","--","--"
"H10","樂富","LOK FU","H1001","摩士公園體育館","Morse Park Sports Centre","3451","2764","--","--","--","--"
"H11","橫頭磡","WANG TAU HOM","H1101","香港青年協會賽馬會橫頭磡青年空間","The Hong Kong Federation of Youth Groups Jockey Club Wang Tau Hom Youth S.P.O.T.","2262","1702","--","--","--","--"
"H11","橫頭磡","WANG TAU HOM","H1102","香港傷殘青年協會賽馬會活動中心","Hong Kong Federation of Handicapped Youth Jockey Club Activity Center","2256","1699","--","--","--","--"
"H12","天強","TIN KEUNG","H1201","天主教博智小學","Price Memorial Catholic Primary School","1757","2853","--","--","--","--"
"H12","天強","TIN KEUNG","H1202","潔心林炳炎中學","Kit Sam Lam Bing Yim Secondary School","1318","1755","--","--","--","--"
"H13","翠竹及鵬程","TSUI CHUK & PANG CHING","H1301","嗇色園主辦可德幼稚園","Ho Tak Kindergarten (Sponsored by Sik Sik Yuen)","1639","1561","100","--","--","--"
"H13","翠竹及鵬程","TSUI CHUK & PANG CHING","H1302","翠竹商場5樓","Level 5, Tsui Chuk Commercial Complex","2448","2277","376","--","--","--"
"H14","竹園南","CHUK YUEN SOUTH","H1401","竹園社區中心","Chuk Yuen Estate Community Centre","1277","1995","--","--","--","--"
"H14","竹園南","CHUK YUEN SOUTH","H1402","浸信會天虹小學","Baptist Rainbow Primary School","1299","1843","--","--","--","--"
"H15","竹園北","CHUK YUEN NORTH","H1501","竹園體育館","Chuk Yuen Sports Centre","4221","3384","--","--","--","--"
"H16","慈雲西","TSZ WAN WEST","H1601","嗇色園主辦可立小學","Ho Lap Primary School (Sponsored by Sik Sik Yuen)","5010","3642","--","--","--","--"
"H17","正愛","CHING OI","H1701","肖霞幼稚園","Chiu Ha Kindergarten","5764","3670","--","--","--","--"
"H18","正安","CHING ON","H1801","慈雲山聖文德天主教小學","TWS St. Bonaventure Catholic Primary School","2584","5862","--","--","--","--"
"H19","慈雲東","TSZ WAN EAST","H1901","德愛中學","Tak Oi Secondary School","3624","4709","--","--","--","--"
"H20","瓊富","KING FU","H2001","香港海事青年團","Hong Kong Sea Cadet Corps","3355","2314","--","--","--","--"
"H20","瓊富","KING FU","H2002","嗇色園主辦可富耆英鄰舍中心","Ho Fu Neighbourhood Centre for Senior Citizens (Sponsored by Sik Sik Yuen)","2204","1589","--","--","--","--"
"H21","彩雲東","CHOI WAN EAST","H2101","基督教勵行會","Christian Action","2773","2976","--","--","--","--"
"H22","彩雲南","CHOI WAN SOUTH","H2201","香港幼稚園協會幼兒學校","Hong Kong Kindergarten Association Pre-School","2414","3335","--","--","--","--"
"H23","彩雲西","CHOI WAN WEST","H2301","彩雲社區中心","Choi Wan Estate Community Centre","3501","2936","--","--","--","--"
"H24","池彩","CHI CHOI","H2401","佛教孔仙洲紀念中學","Buddhist Hung Sean Chau Memorial College","1784","2799","--","--","--","--"
"H24","池彩","CHI CHOI","H2402","中華基督教會基華小學","CCC Kei Wa Primary School","1072","1256","--","--","--","--"
"H25","彩虹","CHOI HUNG","H2501","聖公會聖本德中學","SKH St. Benedict's School","3523","3439","--","--","--","--"
